plateifu,log(N/Ha),log(O/Hb),EW(Ha)
10220-12703,-0.657494587,-0.069348047,29.88371944
10220-12704,-0.4382638,-0.486938944,29.07119799
10220-12705,-0.366147933,-0.227865029,11.17069697
10220-3701,-0.519822198,-0.084925833,27.95603752
10220-6103,-0.169189902,-0.016933997,7.929009199
10220-6104,-0.346227869,-0.268059645,13.65192509
10220-9102,-0.794623547,0.205390826,29.81471395
10480-12701,-0.199381103,-1.165241057,13.63574155
10480-12702,-0.381482247,-0.412198576,38.15831884
10480-12703,-0.416062455,-0.009585949,196.0375722
10480-12704,-0.446494901,-0.6059908,101.0877686
10480-12705,-0.313971554,0.320742425,20.44219144
10481-12701,-0.159477564,0.220938005,12.74516519
10481-12702,-0.557447967,-1.612598965,152.9697266
10481-12703,-0.175123527,-0.485832672,12.28044192
10481-12705,-0.202367742,-0.035523147,64.65830739
10481-9102,-0.11363204,-0.305181434,35.91596365
10482-12701,-0.071922284,0.0668828,8.574711164
10482-12702,-0.447301719,-0.906361656,217.368337
10482-12703,-0.272088445,-0.522074746,67.02760061
10482-12704,-0.04852529,-0.15112264,64.5995992
10482-12705,-0.366136888,-0.151988098,188.6580963
10482-9101,-0.332040206,0.328538442,170.3868043
10483-12701,-0.512822464,-0.666992763,26.04054705
10483-12702,-0.378349632,-0.278317154,26.98699506
10483-12703,0.05240794,0.331089321,16.9397138
10483-12704,-0.512446624,-0.387019778,155.4957962
10483-12705,-0.244793165,-1.648472703,40.66380644
10483-9101,-0.458810086,-0.369762784,63.98879671
10484-12701,-0.46760509,-1.57046158,686.1870931
10484-12702,-0.745681561,0.742981444,7.096514702
10484-12703,-0.483240464,-0.616606418,388.3455505
10484-12704,-0.337644365,0.040559506,16.09541384
10484-12705,-0.271610213,0.017652027,9.553895315
10484-9102,-0.116476442,-0.463442028,19.30709902
10485-12701,-0.140515678,-0.252899368,6.038326263
10485-12703,-0.266652492,-0.770622837,38.05830765
10485-12704,-0.085652463,-0.809564185,92.7428716
10485-12705,-0.516329936,-0.664776565,80.89949036
10485-9102,-0.236320196,0.739293976,15.27507242
10486-12701,0.015191037,-1.732768197,10.17673743
10486-12702,-0.490139452,0.607848001,15.85403633
10486-12703,-0.488064561,-0.770629116,52.14209557
10486-12704,-0.623046053,-0.581888623,27.006066
10486-12705,-1.013692189,0.875533842,8.283827146
10486-9101,-0.343377364,0.448736148,23.1519146
10486-9102,-0.051394262,-2.36593211,7.250257333
10487-12702,0.007869984,-1.577775335,13.07194138
10487-12703,-0.394566602,-0.527728963,18.22475688
10487-12704,-0.353640338,-0.257071945,45.37764613
10487-9101,-0.363081024,0.032125434,343.6070557
10487-9102,0.143900482,0.108751839,9.620746295
10488-12701,-0.309832782,-0.427776894,21.640064
10488-12703,-0.310437237,-0.646443339,77.83868408
10488-12704,-0.323454633,-0.177564347,393.7663981
10488-9101,-0.154606958,0.437539579,13.95112419
10489-12701,-0.455821382,-0.945317764,12.70094268
10489-12702,-0.051267781,0.918434612,92.75465139
10489-12703,-0.456761693,-0.50099896,158.9807638
10489-12704,-0.596157206,-0.844665618,30.92362086
10489-9101,-0.532626361,-0.736688193,49.79854584
10489-9102,-0.489816047,-0.813444603,50.73541768
10490-12702,-0.279929996,-0.414499213,42.04662704
10490-12703,-0.266118375,-0.175042287,6.019344807
10490-12704,-0.739281416,-1.515778522,84.22122765
10490-12705,-0.135058276,0.505371588,31.29256821
10490-9101,-0.12716441,-1.065204701,14.73397573
10490-9102,-0.370368553,-1.316160407,91.76940664
10491-12701,-0.241266648,0.652871324,34.29390971
10491-12702,-0.321916428,0.277299926,147.218633
10491-12703,-0.451900384,-0.508405914,17.94923846
10491-12704,-0.131988995,-0.548451166,134.0143763
10491-12705,-0.142600017,1.270416767,62.53187561
10491-9101,-0.680066803,0.161991628,75.56944021
10491-9102,-0.697454989,0.608137029,20.43671862
10492-12701,0.084093587,0.169960455,11.3945775
10492-12702,-0.070139454,0.526852465,23.65356588
10492-12703,-0.143553462,-0.016267583,12.17723846
10492-12704,-0.363473181,-0.408450235,11.8204813
10492-1901,-0.536358235,-0.494726925,10.54338837
10492-6102,0.182908376,0.377196912,7.053229332
10492-6103,-0.04183372,0.76337317,89.34944916
10492-6104,-0.099694538,0.211786779,6.97371161
10492-9101,-0.38965385,-0.662194593,45.43126774
10492-9102,-0.011205591,0.513017122,19.18353224
10493-12701,-0.329727135,-0.341418654,23.59894037
10493-12702,-0.523099231,-0.182017666,8.911814451
10493-1902,-0.440509079,0.061030339,72.85024834
10493-3701,-0.461412869,-0.732816839,13.7687068
10493-3704,-0.141211634,0.889295702,41.42684174
10493-9101,-0.507918709,-0.411738407,17.32572079
10493-9102,-0.699393248,0.099113588,9.065157175
10494-12701,-0.154409958,0.583996337,7.252549052
10494-12705,-0.0431244,0.22400939,6.090438684
10494-3701,-0.324950691,-0.302498593,50.00447941
10494-3704,-0.536966307,-0.320682197,26.64926624
10494-6101,-0.417082195,-0.617816351,9.26913619
10495-12704,-0.363340675,-0.520284578,10.23131514
10495-12705,-0.445541683,-0.448134826,14.13254023
10495-1901,-0.447896544,-0.419781809,7.348268032
10495-3701,-0.052431117,-0.245472024,7.307793617
10495-3702,-0.512137565,-0.534784476,9.312317371
10495-6103,-0.392692646,-0.582420978,12.53716779
10495-9101,-0.304864885,0.011168838,10.78266096
10496-12701,-0.168396347,0.047105938,6.159608841
10496-12703,-0.909445046,-0.039358716,10.44862111
10496-12704,-0.419085099,-0.375123731,213.7413292
10496-12705,-0.473705474,-0.496993147,20.26455069
10496-6101,-0.430169638,-0.13510696,18.34248066
10496-6102,-0.554721279,-0.213509432,98.53751183
10496-6103,-0.509880319,-0.196080687,10.67428064
10500-12702,-0.289387702,0.24443215,11.72408557
10500-12703,0.057518687,0.212037541,123.4146309
10500-12704,-0.402869738,-0.596697461,47.10590935
10500-3702,-0.275637861,-0.462764441,76.15957832
10500-3703,-0.423495716,-0.594510561,43.60302353
10500-6101,-0.404741932,-0.320961656,22.85324764
10500-9102,-0.367099226,-0.535290925,6.150021553
10501-12702,-0.397467848,-0.521040982,8.53783989
10501-12703,-0.678839786,-0.43025245,17.09077215
10501-12704,-0.460752949,-0.813931226,14.28421855
10501-1901,-0.256084283,-0.156688411,9.743642569
10501-1902,-0.236696578,-0.449628696,89.94102859
10501-3701,-0.362076506,-0.336258502,27.35126305
10501-6102,-0.379996609,-0.720705634,37.93489265
10501-9102,0.153736095,0.281293311,9.276480198
10502-1901,-0.585018991,0.134635733,220.2649574
10502-6103,-0.104690836,-0.033918523,14.31081915
10502-6104,-0.332440564,-0.309108251,8.896912336
10504-12701,-0.317635347,-0.239568737,15.26356363
10504-12704,-0.313581842,0.497199834,17.88768959
10504-9101,-0.234995803,-0.481365448,48.59171009
10504-9102,-0.296093947,-0.086478502,18.35521078
10505-12701,-0.198073525,-0.1881526,9.597764254
10505-12703,-0.29554997,0.022939128,9.50186189
10505-12704,-0.456903017,-0.671611318,25.21068478
10505-6101,-0.20837892,0.199250258,6.12207524
10505-6104,-0.827584048,0.205876388,16.28902817
10505-9101,-0.445936272,-0.497776815,9.32679987
10506-12702,-0.164253284,0.002319719,18.37030935
10506-12703,-0.527116201,-0.188894979,24.53389311
10506-12704,-1.05761638,0.288631306,55.46518135
10506-1901,-0.225867961,-0.159613189,22.24033308
10506-3703,-0.619106982,-0.048861026,19.97649479
10506-6101,-0.424378907,-0.513000116,9.738661051
10506-6104,-0.479028348,-0.394467512,7.314393163
10506-9101,-0.144404309,-0.125007514,10.39136028
10506-9102,-0.405763065,-0.11939507,7.530766487
10507-12702,-0.669297843,0.053022104,6.473963499
10507-12704,-0.203561568,-0.026269688,24.47295427
10507-12705,-0.302431318,-0.326012443,14.7921772
10507-1902,-0.418299606,-0.549660746,43.62233829
10507-3702,-0.369068288,-0.322236969,9.311963558
10507-3704,-0.403915406,-0.296665751,27.75229836
10507-6102,-0.465517093,-0.385937278,26.15468264
10507-6104,0.195120245,0.12063346,22.27277231
10507-9101,-0.452470134,-0.31944706,23.88317251
10507-9102,-0.235909116,-0.255118939,36.22080994
10508-12701,-0.210008487,-0.40831113,19.7895155
10508-12702,-0.601390554,-0.691876111,22.86889744
10508-12703,-0.09964584,0.629992773,39.46365738
10508-1901,-0.706552922,0.015387491,39.53092766
10508-6101,0.275327414,0.363555654,33.64364433
10508-6103,-0.149075519,0.405588022,55.84012508
10508-6104,-0.181352175,-0.213812235,44.11587238
10509-12701,-0.504938927,-0.525103591,33.54484272
10509-12703,-0.143907608,-0.129185275,70.76451111
10509-1901,-0.456922248,-0.713920234,122.5603294
10509-1902,-0.658382541,0.075090782,8.749899626
10509-3701,-0.433586427,-0.439823651,7.24905479
10509-3703,-0.5677822,-0.171746732,28.27689695
10509-3704,-0.3700468,-0.63925642,57.04135323
10509-6101,-0.426633941,-0.490258352,26.54639482
10509-6102,-0.479256402,-0.263837946,45.72768116
10509-6103,-0.5296433,-0.014704635,16.91794443
10509-6104,-0.424537174,-0.444591672,20.42699242
10509-9101,-0.316652699,-0.365861625,18.41337538
10510-12703,-0.484751017,-0.293354199,8.590474447
10510-12704,0.051155146,1.076198988,164.4540825
10510-12705,0.112928212,-0.036885833,7.308109283
10510-3704,-0.235145511,0.330023247,11.68738699
10510-6103,0.192727463,0.285222111,86.97163963
10510-9102,0.376994076,0.463436777,6.730264346
10838-12701,-0.676732606,-0.033696368,24.15870333
10838-12704,-0.750749163,0.158137544,19.60423231
10838-12705,-0.097017712,0.720340883,9.90929091
10838-3702,-0.745207141,0.131945103,71.35241699
10838-6102,-1.178569788,0.470480724,49.02115822
10838-6103,-0.786433517,0.157183838,14.54149532
10838-9101,-0.268269749,-0.214046706,17.02518559
10838-9102,-0.446949318,-0.446593919,10.30507278
11011-12703,-0.249496988,-0.378677299,14.09997201
11011-12705,-0.382913392,-0.435052261,8.986297369
11011-1902,-0.057356236,0.423960373,170.9762268
11011-6104,-0.521063496,-0.398073048,7.316204071
11012-12703,-0.440190199,-0.468044611,6.67900002
11012-3702,-0.361426188,-0.460947876,27.45208025
11012-6101,-0.456602469,-0.656474956,11.06127095
11012-6102,-0.46428044,-0.569518921,11.3772223
11012-9102,-0.26932879,-0.211346636,13.19524908
11013-12701,-0.644568854,0.028901435,8.696285248
11013-12702,-0.409594095,-0.398594701,10.81573749
11013-12704,-0.427776401,-0.191246915,6.517822862
11013-12705,-0.629576487,-0.062086115,11.73820996
11013-1902,-0.494277783,-0.127153976,32.86754131
11013-3701,-0.334020238,-0.211911632,17.85481358
11013-3702,0.095263157,0.13577594,56.64973736
11013-3703,-0.59994121,-0.105802524,41.50158024
11013-3704,-0.558153262,-0.284387936,10.99226356
11013-6101,0.00256274,0.382208411,247.4845581
11013-6102,-0.70893057,0.179259301,68.93374252
11013-9102,-0.538467009,-0.22100656,25.50685406
11016-9101,-0.38343837,-0.43764504,8.421699524
11016-9102,-0.41923171,-0.640440806,13.69329643
11017-12701,0.045256951,0.618521333,19.72706366
11017-12703,-0.44381371,-0.593388545,17.36330032
11017-12704,-0.189940618,0.034798995,13.37128735
11017-12705,-0.447157404,-0.607588662,10.16014194
11017-3704,-0.500604735,0.342394522,29.00527048
11017-6101,-0.413750514,-0.622993296,22.86536503
11017-6103,-0.491527889,-0.642168941,123.2716255
11017-6104,0.039212996,0.25366662,10.26480007
11017-9101,-0.317849073,-0.476544975,38.88635921
11018-12701,-0.358567886,-0.093340335,7.301071525
11018-12702,0.216971353,0.503462942,21.51996708
11018-12704,-0.39150971,-0.363091769,20.15453863
11018-1902,-0.5031261,-0.343610532,16.51025105
11018-3702,-0.39406934,-0.538355083,11.48275948
11018-3703,-0.452387622,-0.478316414,102.8568897
11018-6102,-0.056072274,-0.131363111,10.21592045
11018-6103,-0.059567561,0.017069964,17.32703447
11018-6104,-0.882241177,0.209773752,13.83534288
11018-9102,-0.650316455,0.212822467,53.84598255
11019-12702,-0.440284448,-0.698847774,75.95968628
11019-12703,-0.213078054,-0.010515921,8.63596797
11019-6101,-0.463906432,-0.3790046,22.63692856
11019-6104,-0.332620547,-0.381804607,9.639121771
11019-9101,0.263399252,0.28848644,8.246352553
11020-12701,-1.349599538,-0.206973686,11.82744837
11020-1901,-0.088481207,0.040452412,7.904996395
11020-1902,0.415767014,1.138156862,6.782398065
11020-3704,-0.799101424,0.3056431,54.30104065
11020-6101,-0.74776443,0.236608057,55.57528782
11020-6102,-0.697326001,-0.083687424,20.89889455
11020-6103,-0.206308206,0.289213939,56.27443504
11021-12703,-0.384634355,-0.30715319,9.938215733
11021-1902,0.229240479,0.265701534,8.353186369
11021-3703,0.195834509,1.047478726,24.86325741
11021-6101,-0.048205232,0.257586869,13.22435546
11021-6102,-0.154249861,-0.101349196,9.281203747
11021-6103,-0.696097474,0.124951737,14.34105206
11021-6104,0.001503885,0.114461357,7.397788843
11021-9102,-0.720126628,0.128402282,8.067002535
11025-12701,-0.171456818,-0.167370272,18.99629259
11025-12703,-0.78045701,-0.09147502,9.935872396
11025-12704,-0.437122688,-0.355269353,17.29559517
11025-12705,0.093035202,0.226649204,10.43604898
11025-1902,-0.41368662,-0.569948998,45.92707634
11025-3701,-1.102333611,0.499252926,19.18153143
11025-6101,-0.524234615,0.111979731,46.78776836
11025-9101,-0.826062187,0.288373196,54.96865463
11025-9102,-0.557601263,-0.242875619,84.92094231
11742-12701,-0.358219288,-0.328412106,10.71917343
11742-12702,-0.608437082,-0.096368831,14.74833369
11742-12704,-0.296194217,-0.632494276,87.42826653
11742-3702,-0.457737037,-0.350504311,15.1737535
11742-3703,0.287961594,0.309258823,10.15246367
11742-3704,0.075607055,0.124737773,8.192611694
11745-12702,-0.252082063,-0.20024561,24.44318771
11745-12704,-0.490127157,-0.140599817,6.394679904
11745-1902,-0.348848394,-0.530134961,13.26137376
11745-3701,-0.565344901,0.059930007,154.265274
11745-6101,-0.151235105,0.146757461,12.52626538
11745-6104,0.187532835,0.550238267,17.38405991
11745-9101,-0.46701857,-0.573474604,26.56678677
11746-12702,-0.634771887,-0.109088937,10.26739216
11746-12704,0.143203307,0.899891598,18.4942131
11746-3701,-0.272974138,-0.429534057,30.75353956
11746-3703,-0.304127748,-0.484808036,14.95164132
11746-9102,0.029405503,0.165865263,11.03667355
11748-3704,0.153786081,0.587711486,8.253645539
11748-6101,-0.427840112,-0.417330127,6.987752795
11749-12701,0.243891313,0.18729976,8.153566122
11749-12702,-0.593981689,-0.064451806,16.57678509
11749-12704,-0.227323955,-0.086543259,173.6938133
11749-3701,-0.470159835,-0.698639568,34.87032413
11749-3702,0.018306682,0.064954842,6.730959098
11749-3704,-0.428620654,-0.454963875,12.46274328
11749-6104,0.027441226,0.004634321,11.55136037
11750-12701,-0.359100473,-0.324687676,14.11164236
11750-12705,-0.834699454,0.223470835,11.47004867
11750-1901,-0.79870291,0.236039266,111.6139832
11750-3702,-0.950084554,0.443734867,93.85245132
11750-3703,-0.287145279,0.306792305,6.417050004
11750-6101,-0.198671438,-0.298517246,23.02877426
11750-6102,-0.514342803,-0.199803923,12.5838666
11750-6103,-0.449834419,-0.655257657,35.87529278
11750-9101,-0.268746646,-0.321820507,13.54755497
11750-9102,-0.552113278,-0.329393621,12.87295318
11751-12702,-0.744239249,0.188964588,63.63904762
11751-12704,0.01078598,0.245990333,54.27881813
11751-1901,-0.117103821,-0.66671777,195.6399345
11751-3701,-0.607956791,0.019743784,100.002346
11751-3702,-0.604685797,-0.167511837,161.7845917
11751-6101,0.113104794,0.213600748,64.19501972
11751-6102,-0.148351622,-0.04941436,71.96628952
11751-9101,-0.545156187,-0.321106135,15.45704699
11751-9102,-0.456382393,-0.528967823,12.99509621
11755-12701,-0.3318261,-0.614652318,19.42960644
11755-12702,-0.575153512,-0.064656165,12.37139797
11755-12703,-0.277958169,-0.156941505,30.73883295
11755-12704,-0.285118682,-0.292048376,14.65198636
11755-12705,-0.501206203,-0.159946867,12.11726522
11755-3703,-0.544604781,-0.298203237,10.96019888
11755-3704,-0.696953077,0.064464899,65.36883163
11755-6101,-0.459826565,-0.487528715,18.28202105
11755-6103,0.000351911,0.04951734,6.503065348
11755-6104,-0.037903256,0.073921962,18.35746193
11755-9101,-0.679930417,0.117864931,18.69344616
11755-9102,-0.071887598,0.223373999,6.182179928
11758-12702,-0.464419195,-0.668832318,7.281580448
11758-12704,-0.460121274,-0.40685583,47.55498028
11758-12705,0.212362752,0.344987401,10.34485006
11758-1901,-0.397124209,-0.210529479,136.8894882
11758-3701,-0.357525046,-0.501087647,37.54376125
11758-3702,-0.44823053,-0.687790243,8.056450844
11758-3704,-0.497526805,-0.355520611,34.55180359
11758-6101,0.101080568,0.491124218,16.19147158
11758-6102,-0.406959986,-0.557879477,7.003673315
11758-6103,-0.483792897,-0.383617252,13.14822674
11758-6104,0.203323178,0.133341314,31.97487974
11758-9101,-0.723732775,0.263572241,59.62700653
11760-12701,-0.454241397,-0.654451917,7.27310276
11760-12703,-0.618201201,-0.090707325,42.3685112
11760-12704,-0.374039945,-0.448475539,6.41700995
11760-12705,-0.544843705,-0.106587001,9.230850856
11760-1901,-0.440495446,-0.5501343,73.63277626
11760-1902,-0.169549223,-0.441438735,167.8803444
11760-3701,-0.589722325,-0.05526631,14.6475668
11760-3702,-0.4037261,-0.75874706,60.5411644
11760-3703,0.035175747,0.32271099,9.021339417
11760-6101,-0.32442207,-0.234728212,27.95304012
11760-6102,-0.531286474,-0.130349587,20.02398205
11760-6104,-0.033812744,0.0113859,7.200253963
11760-9101,0.176483255,0.167096739,6.879756927
11760-9102,-0.340530002,-0.675872568,21.64882135
11761-12701,-0.535858467,-0.42278188,6.811535001
11761-12702,-0.226522918,0.071686239,6.749667525
11761-12703,-0.292151008,-0.133134302,8.642616987
11761-12704,-0.441392637,-0.521271925,33.71300697
11761-12705,0.062733122,0.096297543,27.66670036
11761-1902,-0.445621697,-0.480804497,35.08483315
11761-3703,-0.287320928,-0.300534942,58.68994904
11761-6102,-0.362244462,-0.281817795,9.977254152
11761-6103,-0.962641598,0.265690825,28.83651066
11761-6104,-0.284708652,-0.234647709,19.73609734
11761-9101,-0.629440332,0.002958912,10.19627142
11761-9102,0.082893964,-0.122118863,6.460775375
11826-12702,-0.852456743,0.252908673,20.316401
11826-12703,-0.788104647,0.172590814,35.58864689
11826-1901,-0.276161571,-0.040614163,13.11734462
11826-1902,-0.508813522,-0.264094979,44.42418003
11826-3701,-0.475321891,-0.493430346,28.62613249
11826-3702,-0.460909677,-0.314832552,18.55773926
11826-3703,-0.436583539,-0.589223833,24.11616564
11826-3704,-0.380254498,-0.157802196,15.43008208
11826-6103,-0.196723708,0.032889819,10.3710258
11826-6104,-0.303207508,-0.3878183,21.29693174
11826-9101,-0.497179441,-0.411649895,66.88248253
11827-12704,-0.048478102,0.033983097,6.791122079
11827-12705,-0.790717883,0.231147307,46.73004055
11827-1902,-0.11794864,-0.604844981,235.4109192
11827-6102,-0.36253694,-0.500979375,38.81942272
11830-12701,0.022875405,0.041741304,50.12678814
11830-12702,0.301224748,0.460407853,11.59489679
11830-12703,-0.567793526,-0.744647408,22.51526117
11830-12704,-0.05613107,0.143169229,7.431883693
11830-1902,-0.2247718,0.524676608,23.53209877
11830-3702,-0.127564677,0.068536965,12.43141508
11830-3703,-0.263237226,0.011877274,9.659195185
11830-3704,-0.391643378,-0.35311404,8.186841488
11830-6101,-0.445105837,-0.299050337,7.02269268
11830-6102,-0.452164761,0.565260416,67.69867706
11830-6104,-0.121268424,0.252615962,7.401286483
11831-12702,0.276656521,0.879585967,37.52668571
11831-12703,-0.309748675,-0.49139296,9.93679595
11831-12704,-0.25213066,-0.145969725,7.751473665
11831-1901,-0.790587966,0.26288875,94.25038528
11831-3701,-0.182440208,0.001140119,110.3718948
11831-3702,-0.452409535,-0.612326564,6.843784571
11831-3704,-0.303162005,-0.535797444,73.74384689
11831-6101,-0.444262235,-0.649924556,33.51102257
11831-6102,-0.255815711,-0.178599011,10.43010783
11831-6103,-0.668036295,0.030175203,35.73763466
11831-9101,-0.456074933,-0.535019876,12.61642981
11831-9102,-0.565932016,-0.058051963,39.69717503
11832-12701,-0.533208546,-0.239532574,19.84760153
11832-12704,-0.443640183,-0.578299151,10.12286353
11832-12705,-0.456499739,-0.352633423,6.716721296
11832-1902,-0.333105956,-0.308694629,38.78753853
11832-3701,-0.373656271,-0.477870678,29.534513
11832-3702,0.032883602,0.172775446,21.63363218
11832-3704,-0.414992107,-0.682779115,88.01106644
11832-6102,-0.309056264,-0.537024881,9.978728056
11832-6103,-0.426720346,-0.47924114,18.19891739
11832-9102,-0.470313017,-0.386039781,8.40860939
11833-12701,-0.447903628,-0.415493243,10.84171748
11833-12702,-0.421977578,-0.42690328,11.21685266
11833-12703,-0.556061339,-0.139629328,10.53708053
11833-12705,-0.379450253,-0.432001972,20.22775507
11833-1902,-0.314506187,-0.37079234,17.78315639
11833-3702,-0.04670718,0.736906402,310.7431717
11833-3704,-0.396092494,-0.207786492,17.24790192
11833-6101,-0.296921263,-0.158747737,8.145407438
11833-6102,-0.291052689,-0.342804355,13.18385696
11833-6103,-0.429752232,-0.500886606,17.58269596
11833-6104,-0.024748545,0.273166447,6.661456108
11833-9102,-0.229745201,-0.29546391,17.66712666
11843-12705,0.152077328,-0.976415356,47.44183159
11863-12701,-0.617594668,-0.043655754,12.93827152
11863-12703,-0.198948752,0.067234802,6.92929852
11863-12705,-0.387491302,0.468210689,16.28270912
11863-1901,-0.784492655,0.246260107,32.12203026
11863-3703,0.146273973,-0.898321818,1034.637589
11863-6103,-0.028994297,-0.128877723,10.2274003
11863-9102,-0.126415589,-0.320063078,30.74350071
11872-12702,-0.298617147,-0.472567711,21.25757742
11872-12704,-0.457392042,-0.875943669,14.06724262
11872-12705,-0.151140388,0.236643414,12.9771204
11872-9101,-0.389398021,-0.376865372,7.760472655
11940-12701,0.217270084,0.496594979,7.19119513
11940-12704,-0.135534172,0.642029095,16.3453126
11940-12705,0.3751952,0.54641536,17.33585358
11940-1902,-0.061963124,-0.00131584,23.3385272
11940-3703,-0.341653882,-0.562315887,18.6969471
11940-6103,-0.452873247,-0.671073548,37.5125742
11940-6104,-0.158403576,-0.347625863,18.04125404
11940-9102,-0.087797621,-0.03198203,15.19983792
11941-12701,-0.19636249,-0.255614194,10.63354635
11941-12703,-0.568012292,-0.179342459,42.3164053
11941-12704,0.057393108,0.28028381,7.070282936
11941-12705,0.063717325,0.539620026,10.45522523
11941-1901,-0.502192287,-0.727300761,39.23336124
11941-1902,-0.011061944,0.004225095,6.975122929
11941-3702,0.30481834,0.298445669,25.00637531
11941-6101,-0.520122203,-0.623351614,8.540626526
11941-6103,-0.072117715,-0.031815698,10.05416369
11941-6104,-0.509063122,-0.472804074,12.11945939
11941-9101,-1.05339001,0.401374376,45.36441135
