Log(N/Ha),Log(O/Hb),Predicted
-0.388129016,-0.687005759,SFG
-0.434213844,-0.112852815,SFG
-0.531100579,-0.445765747,SFG
-0.374164299,0.041658487,SFG
-0.282949677,-0.159335745,SFG
-0.063955954,0.380609024,AGN
-0.364022938,-0.470948671,SFG
-0.452393722,-0.565680426,SFG
-0.444448664,-0.16884673,SFG
-0.281289378,-0.271892078,SFG
0.174797417,0.328423637,AGN
-0.121166092,-0.238387952,SFG
-0.573683134,-0.826385119,SFG
0.100889319,0.15839716,AGN
-0.6849877,0.144526729,SFG
-0.510036919,-0.119025513,SFG
-0.514337062,-0.601231199,SFG
-0.570257516,0.006083586,SFG
-0.104808659,0.271021234,AGN
-0.375110036,-0.478022027,SFG
-0.034179602,0.27014029,AGN
-0.545843229,-0.188369249,SFG
-0.184278702,0.040423138,SFG
-0.001141661,0.234210963,AGN
-0.31163166,-0.490868607,SFG
-0.34437437,-0.022836552,SFG
-0.66991555,0.157010714,SFG
-0.453352017,-0.624688043,SFG
-0.414895217,-0.364292389,SFG
-0.334006558,-0.336115831,SFG
-0.093257961,-0.028037961,SFG
-0.657494587,-0.069348047,SFG
-0.4382638,-0.486938944,SFG
-0.366147933,-0.227865029,SFG
-0.519822198,-0.084925833,SFG
-0.169189902,-0.016933997,SFG
-0.346227869,-0.268059645,SFG
-0.794623547,0.205390826,SFG
-0.199381103,-1.165241057,SFG
-0.381482247,-0.412198576,SFG
-0.416062455,-0.009585949,SFG
-0.446494901,-0.6059908,SFG
-0.313971554,0.320742425,SFG
-0.159477564,0.220938005,AGN
-0.557447967,-1.612598965,SFG
-0.175123527,-0.485832672,SFG
-0.202367742,-0.035523147,SFG
-0.11363204,-0.305181434,SFG
-0.071922284,0.0668828,AGN
-0.447301719,-0.906361656,SFG
-0.272088445,-0.522074746,SFG
-0.04852529,-0.15112264,SFG
-0.366136888,-0.151988098,SFG
-0.332040206,0.328538442,SFG
-0.512822464,-0.666992763,SFG
-0.378349632,-0.278317154,SFG
0.05240794,0.331089321,AGN
-0.512446624,-0.387019778,SFG
-0.244793165,-1.648472703,SFG
-0.458810086,-0.369762784,SFG
-0.46760509,-1.57046158,SFG
-0.745681561,0.742981444,SFG
-0.483240464,-0.616606418,SFG
-0.337644365,0.040559506,SFG
-0.271610213,0.017652027,SFG
-0.116476442,-0.463442028,SFG
-0.140515678,-0.252899368,SFG
-0.266652492,-0.770622837,SFG
-0.085652463,-0.809564185,SFG
-0.516329936,-0.664776565,SFG
-0.236320196,0.739293976,AGN
0.015191037,-1.732768197,SFG
-0.490139452,0.607848001,SFG
-0.488064561,-0.770629116,SFG
-0.623046053,-0.581888623,SFG
-1.013692189,0.875533842,SFG
-0.343377364,0.448736148,AGN
-0.051394262,-2.36593211,SFG
0.007869984,-1.577775335,SFG
-0.394566602,-0.527728963,SFG
-0.353640338,-0.257071945,SFG
-0.363081024,0.032125434,SFG
0.143900482,0.108751839,AGN
-0.309832782,-0.427776894,SFG
-0.310437237,-0.646443339,SFG
-0.323454633,-0.177564347,SFG
-0.154606958,0.437539579,AGN
-0.455821382,-0.945317764,SFG
-0.051267781,0.918434612,AGN
-0.456761693,-0.50099896,SFG
-0.596157206,-0.844665618,SFG
-0.532626361,-0.736688193,SFG
-0.489816047,-0.813444603,SFG
-0.279929996,-0.414499213,SFG
-0.266118375,-0.175042287,SFG
-0.739281416,-1.515778522,SFG
-0.135058276,0.505371588,AGN
-0.12716441,-1.065204701,SFG
-0.370368553,-1.316160407,SFG
-0.241266648,0.652871324,AGN
-0.321916428,0.277299926,SFG
-0.451900384,-0.508405914,SFG
-0.131988995,-0.548451166,SFG
-0.142600017,1.270416767,AGN
-0.680066803,0.161991628,SFG
-0.697454989,0.608137029,SFG
0.084093587,0.169960455,AGN
-0.070139454,0.526852465,AGN
-0.143553462,-0.016267583,SFG
-0.363473181,-0.408450235,SFG
-0.536358235,-0.494726925,SFG
0.182908376,0.377196912,AGN
-0.04183372,0.76337317,AGN
-0.099694538,0.211786779,AGN
-0.38965385,-0.662194593,SFG
-0.011205591,0.513017122,AGN
-0.329727135,-0.341418654,SFG
-0.523099231,-0.182017666,SFG
-0.440509079,0.061030339,SFG
-0.461412869,-0.732816839,SFG
-0.141211634,0.889295702,AGN
-0.507918709,-0.411738407,SFG
-0.699393248,0.099113588,SFG
-0.154409958,0.583996337,AGN
-0.0431244,0.22400939,AGN
-0.324950691,-0.302498593,SFG
-0.536966307,-0.320682197,SFG
-0.417082195,-0.617816351,SFG
-0.363340675,-0.520284578,SFG
-0.445541683,-0.448134826,SFG
-0.447896544,-0.419781809,SFG
-0.052431117,-0.245472024,SFG
-0.512137565,-0.534784476,SFG
-0.392692646,-0.582420978,SFG
-0.304864885,0.011168838,SFG
-0.168396347,0.047105938,SFG
-0.909445046,-0.039358716,SFG
-0.419085099,-0.375123731,SFG
-0.473705474,-0.496993147,SFG
-0.430169638,-0.13510696,SFG
-0.554721279,-0.213509432,SFG
-0.509880319,-0.196080687,SFG
-0.289387702,0.24443215,SFG
0.057518687,0.212037541,AGN
-0.402869738,-0.596697461,SFG
-0.275637861,-0.462764441,SFG
-0.423495716,-0.594510561,SFG
-0.404741932,-0.320961656,SFG
-0.367099226,-0.535290925,SFG
-0.397467848,-0.521040982,SFG
-0.678839786,-0.43025245,SFG
-0.460752949,-0.813931226,SFG
-0.256084283,-0.156688411,SFG
-0.236696578,-0.449628696,SFG
-0.362076506,-0.336258502,SFG
-0.379996609,-0.720705634,SFG
0.153736095,0.281293311,AGN
-0.585018991,0.134635733,SFG
-0.104690836,-0.033918523,SFG
-0.332440564,-0.309108251,SFG
-0.317635347,-0.239568737,SFG
-0.313581842,0.497199834,AGN
-0.234995803,-0.481365448,SFG
-0.296093947,-0.086478502,SFG
-0.198073525,-0.1881526,SFG
-0.29554997,0.022939128,SFG
-0.456903017,-0.671611318,SFG
-0.20837892,0.199250258,SFG
-0.827584048,0.205876388,SFG
-0.445936272,-0.497776815,SFG
-0.164253284,0.002319719,SFG
-0.527116201,-0.188894979,SFG
-1.05761638,0.288631306,SFG
-0.225867961,-0.159613189,SFG
-0.619106982,-0.048861026,SFG
-0.424378907,-0.513000116,SFG
-0.479028348,-0.394467512,SFG
-0.144404309,-0.125007514,SFG
-0.405763065,-0.11939507,SFG
-0.669297843,0.053022104,SFG
-0.203561568,-0.026269688,SFG
-0.302431318,-0.326012443,SFG
-0.418299606,-0.549660746,SFG
-0.369068288,-0.322236969,SFG
-0.403915406,-0.296665751,SFG
-0.465517093,-0.385937278,SFG
0.195120245,0.12063346,AGN
-0.452470134,-0.31944706,SFG
-0.235909116,-0.255118939,SFG
-0.210008487,-0.40831113,SFG
-0.601390554,-0.691876111,SFG
-0.09964584,0.629992773,AGN
-0.706552922,0.015387491,SFG
0.275327414,0.363555654,AGN
-0.149075519,0.405588022,AGN
-0.181352175,-0.213812235,SFG
-0.504938927,-0.525103591,SFG
-0.143907608,-0.129185275,SFG
-0.456922248,-0.713920234,SFG
-0.658382541,0.075090782,SFG
-0.433586427,-0.439823651,SFG
-0.5677822,-0.171746732,SFG
-0.3700468,-0.63925642,SFG
-0.426633941,-0.490258352,SFG
-0.479256402,-0.263837946,SFG
-0.5296433,-0.014704635,SFG
-0.424537174,-0.444591672,SFG
-0.316652699,-0.365861625,SFG
-0.484751017,-0.293354199,SFG
0.051155146,1.076198988,AGN
0.112928212,-0.036885833,AGN
-0.235145511,0.330023247,AGN
0.192727463,0.285222111,AGN
0.376994076,0.463436777,AGN
-0.676732606,-0.033696368,SFG
-0.750749163,0.158137544,SFG
-0.097017712,0.720340883,AGN
-0.745207141,0.131945103,SFG
-1.178569788,0.470480724,SFG
-0.786433517,0.157183838,SFG
-0.268269749,-0.214046706,SFG
-0.446949318,-0.446593919,SFG
-0.249496988,-0.378677299,SFG
-0.382913392,-0.435052261,SFG
-0.057356236,0.423960373,AGN
-0.521063496,-0.398073048,SFG
-0.440190199,-0.468044611,SFG
-0.361426188,-0.460947876,SFG
-0.456602469,-0.656474956,SFG
-0.46428044,-0.569518921,SFG
-0.26932879,-0.211346636,SFG
-0.644568854,0.028901435,SFG
-0.409594095,-0.398594701,SFG
-0.427776401,-0.191246915,SFG
-0.629576487,-0.062086115,SFG
-0.494277783,-0.127153976,SFG
-0.334020238,-0.211911632,SFG
0.095263157,0.13577594,AGN
-0.59994121,-0.105802524,SFG
-0.558153262,-0.284387936,SFG
0.00256274,0.382208411,AGN
-0.70893057,0.179259301,SFG
-0.538467009,-0.22100656,SFG
-0.38343837,-0.43764504,SFG
-0.41923171,-0.640440806,SFG
0.045256951,0.618521333,AGN
-0.44381371,-0.593388545,SFG
-0.189940618,0.034798995,SFG
-0.447157404,-0.607588662,SFG
-0.500604735,0.342394522,SFG
-0.413750514,-0.622993296,SFG
-0.491527889,-0.642168941,SFG
0.039212996,0.25366662,AGN
-0.317849073,-0.476544975,SFG
-0.358567886,-0.093340335,SFG
0.216971353,0.503462942,AGN
-0.39150971,-0.363091769,SFG
-0.5031261,-0.343610532,SFG
-0.39406934,-0.538355083,SFG
-0.452387622,-0.478316414,SFG
-0.056072274,-0.131363111,SFG
-0.059567561,0.017069964,AGN
-0.882241177,0.209773752,SFG
-0.650316455,0.212822467,SFG
-0.440284448,-0.698847774,SFG
-0.213078054,-0.010515921,SFG
-0.463906432,-0.3790046,SFG
-0.332620547,-0.381804607,SFG
0.263399252,0.28848644,AGN
-1.349599538,-0.206973686,SFG
-0.088481207,0.040452412,SFG
0.415767014,1.138156862,AGN
-0.799101424,0.3056431,SFG
-0.74776443,0.236608057,SFG
-0.697326001,-0.083687424,SFG
-0.206308206,0.289213939,AGN
-0.384634355,-0.30715319,SFG
0.229240479,0.265701534,AGN
0.195834509,1.047478726,AGN
-0.048205232,0.257586869,AGN
-0.154249861,-0.101349196,SFG
-0.696097474,0.124951737,SFG
0.001503885,0.114461357,AGN
-0.720126628,0.128402282,SFG
-0.171456818,-0.167370272,SFG
-0.78045701,-0.09147502,SFG
-0.437122688,-0.355269353,SFG
0.093035202,0.226649204,AGN
-0.41368662,-0.569948998,SFG
-1.102333611,0.499252926,SFG
-0.524234615,0.111979731,SFG
-0.826062187,0.288373196,SFG
-0.557601263,-0.242875619,SFG
-0.358219288,-0.328412106,SFG
-0.608437082,-0.096368831,SFG
-0.296194217,-0.632494276,SFG
-0.457737037,-0.350504311,SFG
0.287961594,0.309258823,AGN
0.075607055,0.124737773,AGN
-0.252082063,-0.20024561,SFG
-0.490127157,-0.140599817,SFG
-0.348848394,-0.530134961,SFG
-0.565344901,0.059930007,SFG
-0.151235105,0.146757461,AGN
0.187532835,0.550238267,AGN
-0.46701857,-0.573474604,SFG
-0.634771887,-0.109088937,SFG
0.143203307,0.899891598,AGN
-0.272974138,-0.429534057,SFG
-0.304127748,-0.484808036,SFG
0.029405503,0.165865263,AGN
0.153786081,0.587711486,AGN
-0.427840112,-0.417330127,SFG
0.243891313,0.18729976,AGN
-0.593981689,-0.064451806,SFG
-0.227323955,-0.086543259,SFG
-0.470159835,-0.698639568,SFG
0.018306682,0.064954842,AGN
-0.428620654,-0.454963875,SFG
0.027441226,0.004634321,AGN
-0.359100473,-0.324687676,SFG
-0.834699454,0.223470835,SFG
-0.79870291,0.236039266,SFG
-0.950084554,0.443734867,SFG
-0.287145279,0.306792305,SFG
-0.198671438,-0.298517246,SFG
-0.514342803,-0.199803923,SFG
-0.449834419,-0.655257657,SFG
-0.268746646,-0.321820507,SFG
-0.552113278,-0.329393621,SFG
-0.744239249,0.188964588,SFG
0.01078598,0.245990333,AGN
-0.117103821,-0.66671777,SFG
-0.607956791,0.019743784,SFG
-0.604685797,-0.167511837,SFG
0.113104794,0.213600748,AGN
-0.148351622,-0.04941436,SFG
-0.545156187,-0.321106135,SFG
-0.456382393,-0.528967823,SFG
-0.3318261,-0.614652318,SFG
-0.575153512,-0.064656165,SFG
-0.277958169,-0.156941505,SFG
-0.285118682,-0.292048376,SFG
-0.501206203,-0.159946867,SFG
-0.544604781,-0.298203237,SFG
-0.696953077,0.064464899,SFG
-0.459826565,-0.487528715,SFG
0.000351911,0.04951734,AGN
-0.037903256,0.073921962,AGN
-0.679930417,0.117864931,SFG
-0.071887598,0.223373999,AGN
-0.464419195,-0.668832318,SFG
-0.460121274,-0.40685583,SFG
0.212362752,0.344987401,AGN
-0.397124209,-0.210529479,SFG
-0.357525046,-0.501087647,SFG
-0.44823053,-0.687790243,SFG
-0.497526805,-0.355520611,SFG
0.101080568,0.491124218,AGN
-0.406959986,-0.557879477,SFG
-0.483792897,-0.383617252,SFG
0.203323178,0.133341314,AGN
-0.723732775,0.263572241,SFG
-0.454241397,-0.654451917,SFG
-0.618201201,-0.090707325,SFG
-0.374039945,-0.448475539,SFG
-0.544843705,-0.106587001,SFG
-0.440495446,-0.5501343,SFG
-0.169549223,-0.441438735,SFG
-0.589722325,-0.05526631,SFG
-0.4037261,-0.75874706,SFG
0.035175747,0.32271099,AGN
-0.32442207,-0.234728212,SFG
-0.531286474,-0.130349587,SFG
-0.033812744,0.0113859,AGN
0.176483255,0.167096739,AGN
-0.340530002,-0.675872568,SFG
-0.535858467,-0.42278188,SFG
-0.226522918,0.071686239,SFG
-0.292151008,-0.133134302,SFG
-0.441392637,-0.521271925,SFG
0.062733122,0.096297543,AGN
-0.445621697,-0.480804497,SFG
-0.287320928,-0.300534942,SFG
-0.362244462,-0.281817795,SFG
-0.962641598,0.265690825,SFG
-0.284708652,-0.234647709,SFG
-0.629440332,0.002958912,SFG
0.082893964,-0.122118863,AGN
-0.852456743,0.252908673,SFG
-0.788104647,0.172590814,SFG
-0.276161571,-0.040614163,SFG
-0.508813522,-0.264094979,SFG
-0.475321891,-0.493430346,SFG
-0.460909677,-0.314832552,SFG
-0.436583539,-0.589223833,SFG
-0.380254498,-0.157802196,SFG
-0.196723708,0.032889819,SFG
-0.303207508,-0.3878183,SFG
-0.497179441,-0.411649895,SFG
-0.048478102,0.033983097,AGN
-0.790717883,0.231147307,SFG
-0.11794864,-0.604844981,SFG
-0.36253694,-0.500979375,SFG
0.022875405,0.041741304,AGN
0.301224748,0.460407853,AGN
-0.567793526,-0.744647408,SFG
-0.05613107,0.143169229,AGN
-0.2247718,0.524676608,AGN
-0.127564677,0.068536965,SFG
-0.263237226,0.011877274,SFG
-0.391643378,-0.35311404,SFG
-0.445105837,-0.299050337,SFG
-0.452164761,0.565260416,SFG
-0.121268424,0.252615962,AGN
0.276656521,0.879585967,AGN
-0.309748675,-0.49139296,SFG
-0.25213066,-0.145969725,SFG
-0.790587966,0.26288875,SFG
-0.182440208,0.001140119,SFG
-0.452409535,-0.612326564,SFG
-0.303162005,-0.535797444,SFG
-0.444262235,-0.649924556,SFG
-0.255815711,-0.178599011,SFG
-0.668036295,0.030175203,SFG
-0.456074933,-0.535019876,SFG
-0.565932016,-0.058051963,SFG
-0.533208546,-0.239532574,SFG
-0.443640183,-0.578299151,SFG
-0.456499739,-0.352633423,SFG
-0.333105956,-0.308694629,SFG
-0.373656271,-0.477870678,SFG
0.032883602,0.172775446,AGN
-0.414992107,-0.682779115,SFG
-0.309056264,-0.537024881,SFG
-0.426720346,-0.47924114,SFG
-0.470313017,-0.386039781,SFG
-0.447903628,-0.415493243,SFG
-0.421977578,-0.42690328,SFG
-0.556061339,-0.139629328,SFG
-0.379450253,-0.432001972,SFG
-0.314506187,-0.37079234,SFG
-0.04670718,0.736906402,AGN
-0.396092494,-0.207786492,SFG
-0.296921263,-0.158747737,SFG
-0.291052689,-0.342804355,SFG
-0.429752232,-0.500886606,SFG
-0.024748545,0.273166447,AGN
-0.229745201,-0.29546391,SFG
0.152077328,-0.976415356,SFG
-0.617594668,-0.043655754,SFG
-0.198948752,0.067234802,SFG
-0.387491302,0.468210689,SFG
-0.784492655,0.246260107,SFG
0.146273973,-0.898321818,SFG
-0.028994297,-0.128877723,SFG
-0.126415589,-0.320063078,SFG
-0.298617147,-0.472567711,SFG
-0.457392042,-0.875943669,SFG
-0.151140388,0.236643414,AGN
-0.389398021,-0.376865372,SFG
0.217270084,0.496594979,AGN
-0.135534172,0.642029095,AGN
0.3751952,0.54641536,AGN
-0.061963124,-0.00131584,SFG
-0.341653882,-0.562315887,SFG
-0.452873247,-0.671073548,SFG
-0.158403576,-0.347625863,SFG
-0.087797621,-0.03198203,SFG
-0.19636249,-0.255614194,SFG
-0.568012292,-0.179342459,SFG
0.057393108,0.28028381,AGN
0.063717325,0.539620026,AGN
-0.502192287,-0.727300761,SFG
-0.011061944,0.004225095,AGN
0.30481834,0.298445669,AGN
-0.520122203,-0.623351614,SFG
-0.072117715,-0.031815698,SFG
-0.509063122,-0.472804074,SFG
-1.05339001,0.401374376,SFG
-0.314091319,-0.246516578,SFG
-0.194741514,-0.019654419,SFG
-0.519994418,-0.746709911,SFG
-0.538908995,-0.232457822,SFG
-1.065634543,0.468857866,SFG
-0.187688644,-0.099268015,SFG
-0.126328902,-0.017046256,SFG
-0.213410511,-0.074071368,SFG
-0.46785804,-0.344543451,SFG
-0.325269104,-0.551421306,SFG
-0.419705118,-0.491039738,SFG
-0.442725391,-0.263356594,SFG
-0.164296101,0.650414484,AGN
-0.192818763,0.403505253,AGN
-0.539295042,-0.040234761,SFG
0.035162799,0.594152409,AGN
-0.484854859,-0.319918303,SFG
-0.728703767,-0.054279732,SFG
-0.424022085,-0.428830181,SFG
-0.347936429,-0.468891116,SFG
-0.344190385,-0.273166993,SFG
-0.536576177,-0.274960129,SFG
-0.504380633,-0.756898857,SFG
-0.030527318,0.216993716,AGN
-0.445026944,-0.582517477,SFG
-0.237377107,-0.157859849,SFG
-0.527317982,-0.214250363,SFG
-0.217640435,-0.362892635,SFG
-0.093804118,0.014186164,SFG
-0.339602342,-0.25758684,SFG
-0.317832022,-0.018825115,SFG
-0.453437373,-0.396992778,SFG
-0.353208508,-0.330696509,SFG
-0.321315692,-0.606101941,SFG
-0.529547047,-0.395571321,SFG
-0.091501362,0.146952716,AGN
-0.247042404,0.042440519,SFG
-0.149280871,-0.214210624,SFG
0.153057922,0.093332717,AGN
-0.122270595,0.017726085,SFG
-0.564387307,-0.047279075,SFG
0.097874523,0.319952968,AGN
-0.39109374,-0.547594108,SFG
-0.341611167,-0.225407557,SFG
-0.035702998,0.244846048,AGN
0.027409931,0.831115454,AGN
-0.501719557,-0.302719222,SFG
0.31217636,0.41325407,AGN
-0.288363473,-0.524299427,SFG
-0.540585939,-0.009099107,SFG
-0.409363287,-0.492317815,SFG
-0.406361733,0.253022261,SFG
-0.566145198,-0.133566551,SFG
0.010675501,0.141560709,AGN
-0.533798397,-0.117322691,SFG
-0.445805169,-0.811167227,SFG
0.02479518,0.010306148,AGN
-0.248255164,-0.136567798,SFG
-0.341005485,-0.450928672,SFG
-0.371996957,-0.575874865,SFG
-0.400092149,-0.627569161,SFG
-0.592487545,-0.183565443,SFG
0.04505709,0.385928348,AGN
-0.209754806,1.031523296,AGN
0.090818594,0.90830812,AGN
-0.627471663,-0.055423203,SFG
-0.423821217,-0.010756798,SFG
-0.579517265,-0.188409417,SFG
-0.56549881,-0.206609353,SFG
-0.453033616,-0.451164305,SFG
-0.421059207,-0.33459105,SFG
-0.52504271,-0.349269422,SFG
-0.334946229,-0.313538515,SFG
-0.483529135,-0.269252041,SFG
-0.675847973,0.088525816,SFG
0.280991827,0.829099018,AGN
-0.294570294,-0.431931775,SFG
-0.809127998,0.130108293,SFG
-0.471369119,-0.548368432,SFG
-0.500854222,-0.331562173,SFG
-0.194656323,-0.273500216,SFG
-0.590683777,-0.034988642,SFG
-0.013263095,0.155901637,AGN
0.501888295,0.99741063,AGN
-0.423992932,-0.287715154,SFG
-0.368595681,-0.582345805,SFG
-0.882210929,0.345222738,SFG
-1.047843268,0.403663021,SFG
-0.439348823,-0.696873312,SFG
-0.547033958,-0.161417891,SFG
-0.756713232,0.020317547,SFG
-0.096640684,0.558164737,AGN
0.159221172,0.52969962,AGN
-0.020137231,0.339550689,AGN
0.160055195,0.332470211,AGN
-0.728692248,0.07005387,SFG
-0.461131283,-0.474981015,SFG
-0.825953825,0.254123945,SFG
-0.452435549,-0.423383536,SFG
-0.059165109,-0.124384778,SFG
-0.495780681,-0.569015007,SFG
0.053204105,0.086109898,AGN
-0.143751881,-0.045617727,SFG
-0.477307443,-0.702498077,SFG
-0.838118024,0.217586749,SFG
-0.544621925,-0.122163546,SFG
-0.22344632,-0.081168138,SFG
-0.409819085,-0.632393243,SFG
-0.36145841,-0.454385922,SFG
-0.308197064,-0.433004243,SFG
-0.545186755,-0.573567994,SFG
0.186951832,0.416678791,AGN
-0.409433689,-0.603684016,SFG
0.087029245,0.325036512,AGN
-0.451813035,-0.875299753,SFG
-0.241676073,0.294599784,AGN
-0.750320569,0.053537264,SFG
-0.587765103,-0.020416851,SFG
-0.514573789,-0.400908289,SFG
-0.714577821,0.002713606,SFG
-0.227316918,-0.117060124,SFG
-0.111727122,1.071038806,AGN
-0.356522109,-0.404962783,SFG
-0.347592462,0.023283814,SFG
-0.179208085,-0.29394209,SFG
-0.488176626,3.492600036,AGN
-0.063340832,1.021712168,AGN
-0.391345728,-0.148007108,SFG
-0.217575525,-0.639182334,SFG
-0.147601275,-1.1394357,SFG
-0.066493451,-0.007863263,SFG
-0.039231708,-0.267267674,SFG
-0.424250004,-0.664839467,SFG
-0.480194432,0.026850753,SFG
-0.227901486,-0.242923831,SFG
-0.202462946,0.510966067,AGN
0.180222819,-0.438504509,SFG
-0.238167749,-0.334692777,SFG
-0.039053656,0.350810641,AGN
-0.450667052,-1.658149841,SFG
-0.315007203,-0.53567326,SFG
-0.335326873,2.024753478,AGN
-0.460677324,-1.279316637,SFG
-0.283037244,-0.931200871,SFG
-0.459166509,-0.674327608,SFG
-0.504843512,-1.309920112,SFG
-0.127649074,0.035535276,SFG
-0.592802613,0.642124715,SFG
0.001266191,-1.363591408,SFG
-0.406410098,0.382251,SFG
-0.421937397,-0.390035163,SFG
-0.296204499,0.731099161,AGN
-0.362430383,-0.441410486,SFG
-0.39983093,-0.299684042,SFG
-0.386445595,-0.346944037,SFG
-0.338869929,0.123706999,SFG
-0.245943294,1.18712465,AGN
-0.353281451,-0.312374418,SFG
-0.435112687,-0.238751501,SFG
-0.574574735,0.206792451,SFG
-0.453950458,-0.680220951,SFG
-0.488666142,-0.437656523,SFG
-0.527425032,-0.515072562,SFG
-0.367716908,-1.122169839,SFG
-0.31476392,-0.622845378,SFG
-0.215495573,-0.570223546,SFG
-0.538774356,0.393984759,SFG
-0.314805784,-0.014675691,SFG
-0.166619022,1.347308583,AGN
-0.265526393,-0.811122816,SFG
-0.509724861,-0.043310695,SFG
-0.492362511,-0.816623269,SFG
-0.600945929,-1.220835794,SFG
-0.280616317,-0.637826833,SFG
-0.649841499,-0.603773833,SFG
-0.408756887,-1.321631296,SFG
0.059190205,0.046327428,AGN
-0.265256028,0.22080749,SFG
-0.469436661,-0.576943983,SFG
-0.061498915,-0.74037509,SFG
-0.338197534,-0.951766156,SFG
-0.203612594,-1.045198583,SFG
-0.56574087,-0.847227,SFG
-0.402811595,-0.244706304,SFG
-0.456107875,-0.727390945,SFG
-0.420518077,-0.802772841,SFG
-0.397247124,-1.030275398,SFG
-0.505373194,-0.772571657,SFG
-0.487610306,-0.546773089,SFG
-0.190110899,0.310339656,AGN
-0.420850794,0.04518834,SFG
-0.440651418,-0.853744226,SFG
-0.070234679,-0.066276006,SFG
-0.319849264,0.270083617,SFG
-0.454268764,-0.69018862,SFG
-0.081079315,-0.774974303,SFG
-0.519938793,0.596779723,SFG
-0.187814299,-0.578652598,SFG
0.123076846,-0.021466649,AGN
-0.161814934,-0.516656306,SFG
0.019563811,0.441667577,AGN
-0.463406113,0.095198268,SFG
-0.318748374,0.129054546,SFG
-0.19602896,-0.083170091,SFG
-0.128880778,-0.712181595,SFG
-0.621537167,0.069021347,SFG
-0.316758561,1.40020127,AGN
-0.023327389,1.014015355,AGN
0.065082206,-0.459523662,SFG
-0.328483124,-0.081243531,SFG
-0.362578606,-1.064311286,SFG
-0.592909744,-0.334460492,SFG
-0.261650965,-0.146778731,SFG
-0.349128122,0.055277139,SFG
-0.239101476,-0.734754125,SFG
-0.402530386,-0.182096149,SFG
-0.424080819,-0.302859062,SFG
-0.076233968,-0.923288731,SFG
-0.24570784,-0.058884891,SFG
-0.263040302,0.872023624,AGN
-0.167901404,0.394637209,AGN
-0.171803332,0.213739582,AGN
-0.465243996,-0.498798376,SFG
-0.405605269,-0.714679778,SFG
-0.516639654,0.426598835,SFG
0.377822432,-0.633936371,AGN
-0.096378684,-1.070886156,SFG
-0.377720976,-0.576848017,SFG
-0.42542234,-1.019189517,SFG
-0.595759827,-0.766955811,SFG
-0.476423968,0.781534065,AGN
-0.119661138,-0.265124081,SFG
-0.263827103,-0.574567328,SFG
0.221793097,-0.015413998,AGN
-0.55185605,-1.355918955,SFG
-0.514715024,-0.668305591,SFG
-0.439655291,-0.606177492,SFG
-0.252863853,-0.099389952,SFG
-0.436898278,-1.496002664,SFG
-0.19996519,0.226606912,AGN
-0.202180847,-0.166612548,SFG
-0.425616566,0.241235687,SFG
-0.300740757,-0.908536509,SFG
-0.388274236,0.671303443,AGN
-0.44700337,-2.224499417,SFG
-0.32193739,-0.908621472,SFG
-0.055231213,-0.188748221,SFG
-0.135131816,-0.117873955,SFG
-0.43861558,0.074061417,SFG
