plateifu,log(N/Ha),log(O/Hb),EW(Ha),KL_Calc,comparison,Classification
10213-12703,-0.519260768,-0.254659412,2.099981844,0.5733779527785741,lower,Passive
10213-12704,0.162014501,-0.054075116,1.087745726,-0.7906127300818151,higher,Passive
10213-12705,-0.364022938,-0.470948671,24.7701025,0.4586052478810839,lower,SFG
10213-1901,0.084401447,0.230908597,5.430150747,-0.39195614390700295,higher,Unclassified
10213-1902,-0.452393722,-0.565680426,15.46608901,0.5286771988458958,lower,SFG
10213-3701,-0.106060945,0.058222946,5.016779423,0.13108426322843303,lower,Unclassified
10213-3702,-0.663701538,0.475399027,0.263485324,0.6519395144544647,lower,Passive
10213-3703,-0.444448664,-0.16884673,32.40696621,0.5229313891370068,lower,SFG
10213-3704,-0.735332731,0.26346332,0.454292215,0.6839156763013349,lower,Passive
10213-6101,-0.502037441,0.229409736,0.948100507,0.562452156397955,lower,Passive
10213-6102,-0.132524383,-0.122967613,2.1816746,0.17759283904366074,lower,Passive
10213-6103,0.076541029,0.353157251,2.608066797,-0.3603522475282437,higher,Passive
10213-6104,0.330552571,0.262246721,0.88690339,-3.18440836575051,higher,Passive
10213-9101,-0.281289378,-0.271892078,23.16591787,0.3780625257555551,lower,SFG
10213-9102,-0.847437623,0.084021966,3.932506919,0.726979975863343,lower,Unclassified
10214-12701,-0.351166842,-0.221113548,2.986726701,0.4471546136540179,lower,Passive
10214-12702,0.206432505,0.208672656,0.588050216,-1.1243976839784438,higher,Passive
10214-12703,0.174797417,0.328423637,6.736116886,-0.8763775831527871,higher,AGN
10214-12704,-0.050729578,-0.221377658,0.434532307,0.018566638478907382,lower,Passive
10214-12705,-0.724643497,0.17271472,0.614875138,0.6793874184793725,lower,Passive
10214-1901,0.144865366,0.23778745,1.471299201,-0.686145867622334,higher,Passive
10214-1902,-0.121166092,-0.238387952,18.00086021,0.15814108884986577,lower,SFG
10214-3701,-0.573683134,-0.826385119,92.164114,0.6055314193282729,lower,SFG
10214-3702,0.100889319,0.15839716,6.648541927,-0.46262083001060605,higher,AGN
10214-3703,-0.445859758,-0.368692419,0.758269057,0.5239591627739145,lower,Passive
10214-3704,0.017069522,0.093516793,1.2287184,-0.15678505781631258,higher,Passive
10214-6101,-0.6849877,0.144526729,22.04045248,0.6618558474691981,lower,SFG
10214-6102,0.131493743,-0.410977978,0.378578655,-0.6120346371322762,higher,Passive
10214-6103,-0.510036919,-0.119025513,8.801813126,0.5675744687022346,lower,SFG
10214-6104,-0.463420884,-0.278165766,4.260191917,0.5364898734791967,lower,Unclassified
10214-9101,-0.026308213,-0.176004838,0.678330511,-0.03907496596273341,lower,Passive
10214-9102,0.449399446,0.881903857,0.937627748,-28.420854154698954,higher,Passive
10215-12701,-0.154254247,0.069972295,3.493065655,0.21283404088718993,lower,Unclassified
10215-12702,-0.514337062,-0.601231199,10.09186029,0.5702935767138675,lower,SFG
10215-12703,-0.570257516,0.006083586,21.7072072,0.6036067361997315,lower,SFG
10215-12704,-0.104808659,0.271021234,16.61045408,0.12877729493285162,higher,AGN
10215-12705,-0.288723791,-0.308722738,3.408590615,0.38601835709406396,lower,Unclassified
10215-1901,-0.375110036,-0.478022027,12.76073456,0.46820050169182925,lower,SFG
10215-1902,-0.034179602,0.27014029,7.275368333,-0.019886313488739704,higher,AGN
10215-3701,-0.545843229,-0.188369249,27.20065165,0.5895136428674271,lower,SFG
10215-3702,-0.184278702,0.040423138,19.75703859,0.25767559736339996,lower,SFG
10215-3703,-0.001141661,0.234210963,6.649216056,-0.10472736226567747,higher,AGN
10215-3704,-0.31163166,-0.490868607,21.47836065,0.40958125391184885,lower,SFG
10215-6101,-0.34437437,-0.022836552,41.03704739,0.4409587451776017,lower,SFG
10215-6102,-0.66991555,0.157010714,302.4025345,0.6548726390301457,lower,SFG
10215-6103,-0.453352017,-0.624688043,57.18999004,0.5293635484959361,lower,SFG
10215-6104,-0.414895217,-0.364292389,40.37941837,0.5006528453526492,lower,SFG
10215-9101,-0.402424001,-0.335608466,4.127608418,0.49079869501435225,lower,Unclassified
10215-9102,-0.000752066,0.130329767,5.648170352,-0.10579888025387874,higher,Unclassified
10220-12701,-0.334006558,-0.336115831,12.86973572,0.4312997208413317,lower,SFG
10220-12702,-0.093257961,-0.028037961,14.27024388,0.10701486310639097,lower,SFG
10220-12703,-0.657494587,-0.069348047,29.88371944,0.6489774469578007,lower,SFG
10220-12704,-0.4382638,-0.486938944,29.07119799,0.5183889548388915,lower,SFG
10220-12705,-0.366147933,-0.227865029,11.17069697,0.46046402206438264,lower,SFG
10220-1901,-0.205993182,0.198077291,3.7144714,0.28762403491223376,lower,Unclassified
10220-1902,0.155642016,0.286749288,1.428598076,-0.7504628832331488,higher,Passive
10220-3701,-0.519822198,-0.084925833,27.95603752,0.5737277025787615,lower,SFG
10220-3702,-0.033410579,0.110187165,3.731704712,-0.021734567063995014,higher,Unclassified
10220-3703,0.272703428,1.039708547,4.10605967,-1.9017921878541313,higher,Unclassified
10220-3704,0.013897167,0.245368004,1.804730058,-0.14741769589052311,higher,Passive
10220-6101,-0.072286054,-0.274794795,2.488238215,0.06513242226952043,lower,Passive
10220-6102,0.09964282,0.266498569,3.333470166,-0.4570586583470586,higher,Unclassified
10220-6103,-0.169189902,-0.016933997,7.929009199,0.235667026197795,lower,SFG
10220-6104,-0.346227869,-0.268059645,13.65192509,0.442659676093466,lower,SFG
10220-9101,0.089163514,0.619588117,5.790974617,-0.41173728732493364,higher,Unclassified
10220-9102,-0.794623547,0.205390826,29.81471395,0.7076430160207985,lower,SFG
10480-12701,-0.199381103,-1.165241057,13.63574155,0.27871045617193047,lower,SFG
10480-12702,-0.381482247,-0.412198576,38.15831884,0.4736022099706795,lower,SFG
10480-12703,-0.416062455,-0.009585949,196.0375722,0.501560944087175,lower,SFG
10480-12704,-0.446494901,-0.6059908,101.0877686,0.5244207378192494,lower,SFG
10480-12705,-0.313971554,0.320742425,20.44219144,0.4119105439634356,lower,SFG
10480-9101,0.047854695,0.905748355,1.155447029,-0.2550000811924227,higher,Passive
10480-9102,0.026892203,0.692406137,4.553542932,-0.1866401858191633,higher,Unclassified
10481-12701,-0.159477564,0.220938005,12.74516519,0.2209424276795987,lower,SFG
10481-12702,-0.557447967,-1.612598965,152.9697266,0.5962959686599876,lower,SFG
10481-12703,-0.175123527,-0.485832672,12.28044192,0.24444465366707968,lower,SFG
10481-12704,0.08151133,0.350086618,4.155341148,-0.38018736222088556,higher,Unclassified
10481-12705,-0.202367742,-0.035523147,64.65830739,0.2827583792382472,lower,SFG
10481-9101,-0.287712451,-0.015330396,1.661839291,0.38494526030957343,lower,Passive
10481-9102,-0.11363204,-0.305181434,35.91596365,0.14482091764530258,lower,SFG
10482-12701,-0.071922284,0.0668828,8.574711164,0.0643773452209615,higher,AGN
10482-12702,-0.447301719,-0.906361656,217.368337,0.5250061518853426,lower,SFG
10482-12703,-0.272088445,-0.522074746,67.02760061,0.3679955555028215,lower,SFG
10482-12704,-0.04852529,-0.15112264,64.5995992,0.01358679168763377,lower,SFG
10482-12705,-0.366136888,-0.151988098,188.6580963,0.46045438521545046,lower,SFG
10482-9101,-0.332040206,0.328538442,170.3868043,0.4294396248010539,lower,SFG
10482-9102,0.198612701,0.584740995,1.497483253,-1.0577101995845433,higher,Passive
10483-12701,-0.512822464,-0.666992763,26.04054705,0.569338565871445,lower,SFG
10483-12702,-0.378349632,-0.278317154,26.98699506,0.4709568402099571,lower,SFG
10483-12703,0.05240794,0.331089321,16.9397138,-0.27075574329646024,higher,AGN
10483-12704,-0.512446624,-0.387019778,155.4957962,0.5691011286532752,lower,SFG
10483-12705,-0.244793165,-1.648472703,40.66380644,0.33660627735577187,lower,SFG
10483-9101,-0.458810086,-0.369762784,63.98879671,0.5332457192330703,lower,SFG
10483-9102,-0.135710987,-0.749355247,4.145871639,0.18291904374849954,lower,Unclassified
10484-12701,-0.46760509,-1.57046158,686.1870931,0.5394062622889557,lower,SFG
10484-12702,-0.745681561,0.742981444,7.096514702,0.6882238609441242,higher,AGN
10484-12703,-0.483240464,-0.616606418,388.3455505,0.5500775218455266,lower,SFG
10484-12704,-0.337644365,0.040559506,16.09541384,0.43471707296564865,lower,SFG
10484-12705,-0.271610213,0.017652027,9.553895315,0.3674654807781078,lower,SFG
10484-9101,-0.086548411,-0.13985627,4.042116006,0.09395877888868842,lower,Unclassified
10484-9102,-0.11659598,-0.459472428,15.88090408,0.15010197683250404,lower,SFG
10485-12701,-0.125376098,-0.23418522,5.963530223,0.16543753931485505,lower,Unclassified
10485-12702,-0.071605039,0.898084452,4.788154761,0.06371801206598438,higher,Unclassified
10485-12703,-0.266652492,-0.770622837,38.05830765,0.36192976793730836,lower,SFG
10485-12704,-0.085652463,-0.809564185,92.7428716,0.09219149447016828,lower,SFG
10485-12705,-0.516329936,-0.664776565,80.89949036,0.5715456900012411,lower,SFG
10485-9101,-0.212378536,0.374140631,5.311925093,0.29606801383916914,higher,Unclassified
10485-9102,-0.236320196,0.739293976,15.27507242,0.32636902433977677,higher,AGN
10486-12701,0.015191037,-1.732768197,10.17673743,-0.15122246838833742,lower,SFG
10486-12702,-0.490139452,0.607848001,15.85403633,0.554675622140772,higher,AGN
10486-12703,-0.488064561,-0.770629116,52.14209557,0.5532996931195329,lower,SFG
10486-12704,-0.623046053,-0.581888623,27.006066,0.6319265333553151,lower,SFG
10486-12705,-0.957033421,0.88611745,6.446986407,0.762539794076764,higher,AGN
10486-9101,-0.343377364,0.448736148,23.1519146,0.440040599851264,higher,AGN
10486-9102,-0.051394262,-2.36593211,7.250257333,0.020060005531859826,lower,SFG
10487-12701,-0.012947068,0.62226145,5.462116718,-0.07307837943018636,higher,Unclassified
10487-12702,0.007869984,-1.577775335,13.07194138,-0.12997485313743407,lower,SFG
10487-12703,-0.394566602,-0.527728963,18.22475688,0.48444417747702906,lower,SFG
10487-12704,-0.353640338,-0.257071945,45.37764613,0.44938547220595204,lower,SFG
10487-12705,-0.351080305,-0.386084795,3.125097573,0.4470763221509739,lower,Unclassified
10487-9101,-0.363081024,0.032125434,343.6070557,0.4577783043585445,lower,SFG
10487-9102,0.143900482,0.108751839,9.620746295,-0.6805946078705951,higher,AGN
10488-12701,-0.309832782,-0.427776894,21.640064,0.40778102424014273,lower,SFG
10488-12702,0.087019282,-0.007773571,3.822161317,-0.4027694824573387,higher,Unclassified
10488-12703,-0.310437237,-0.646443339,77.83868408,0.4083868592113319,lower,SFG
10488-12704,-0.323454633,-0.177564347,393.7663981,0.4212099839991733,lower,SFG
10488-12705,-0.207766581,-0.110910895,3.931786855,0.28998513190192243,lower,Unclassified
10488-9101,-0.154606958,0.437539579,13.95112419,0.21338583938733513,higher,AGN
10488-9102,0.081847096,1.118187145,2.951921821,-0.38154562986343143,higher,Passive
10489-12701,-0.455821382,-0.945317764,12.70094268,0.5311256081791379,lower,SFG
10489-12702,-0.051267781,0.918434612,92.75465139,0.019776129977233214,higher,AGN
10489-12703,-0.456761693,-0.50099896,158.9807638,0.5317941153508596,lower,SFG
10489-12704,-0.596157206,-0.844665618,30.92362086,0.6178517309013057,lower,SFG
10489-12705,0.039893741,-1.308325634,2.467017968,-0.22825418076513038,lower,Passive
10489-9101,-0.532626361,-0.736688193,49.79854584,0.5815978835908543,lower,SFG
10489-9102,-0.489816047,-0.813444603,50.73541768,0.5544615529125446,lower,SFG
10490-12702,-0.279929996,-0.414499213,42.04662704,0.3765907441312695,lower,SFG
10490-12703,-0.256135214,-0.177502334,5.919236183,0.34993607218172995,lower,Unclassified
10490-12704,-0.739281416,-1.515778522,84.22122765,0.6855682011407012,lower,SFG
10490-12705,-0.135058276,0.505371588,31.29256821,0.18183264786878128,higher,AGN
10490-9101,-0.129047019,-1.038341271,11.42136943,0.17171599114492886,lower,SFG
10490-9102,-0.370368553,-1.316160407,91.76940664,0.4641280027407213,lower,SFG
10491-12701,-0.241266648,0.652871324,34.29390971,0.33237508293795315,higher,AGN
10491-12702,-0.321916428,0.277299926,147.218633,0.4197166993484822,lower,SFG
10491-12703,-0.451900384,-0.508405914,17.94923846,0.5283233041369467,lower,SFG
10491-12704,-0.131988995,-0.548451166,134.0143763,0.17669243945231905,lower,SFG
10491-12705,-0.142600017,1.270416767,62.53187561,0.19424423266054203,higher,AGN
10491-9101,-0.675714538,0.14360826,57.9036386,0.6575811646199081,lower,SFG
10491-9102,-0.697454989,0.608137029,20.43671862,0.6674959156905019,lower,SFG
10492-12701,0.084093587,0.169960455,11.3945775,-0.3906941254433107,higher,AGN
10492-12702,-0.070139454,0.526852465,23.65356588,0.06066201981238706,higher,AGN
10492-12703,-0.143553462,-0.016267583,12.17723846,0.19579160940338713,lower,SFG
10492-12704,-0.363473181,-0.408450235,11.8204813,0.45812282157882656,lower,SFG
10492-12705,0.11696033,0.447085496,2.170716047,-0.5378511505520047,higher,Passive
10492-1901,-0.536358235,-0.494726925,10.54338837,0.5838540185940844,lower,SFG
10492-1902,0.081701168,0.329673281,2.71043855,-0.38095502156957317,higher,Passive
10492-3701,0.145366044,0.313584902,0.470872156,-0.6890394187846449,higher,Passive
10492-3702,0.176023663,2.046008079,0.155027611,-0.8849969409952885,higher,Passive
10492-3703,-0.392358697,-0.107672841,1.213073581,0.4826377363362985,lower,Passive
10492-3704,-0.046533824,0.084457402,3.475409329,0.009051199249247688,higher,Unclassified
10492-6101,-0.174164671,0.208475373,1.579671711,0.24303716974568446,lower,Passive
10492-6102,0.182908376,0.377196912,7.053229332,-0.9347572168806986,higher,AGN
10492-6103,-0.04183372,0.76337317,89.34944916,-0.0017933034970811779,higher,AGN
10492-6104,-0.099694538,0.211786779,6.97371161,0.1192507487582759,higher,AGN
10492-9101,-0.38965385,-0.662194593,45.43126774,0.4804120652748777,lower,SFG
10492-9102,-0.011205591,0.513017122,19.18353224,-0.07764944424762521,higher,AGN
10493-12701,-0.329727135,-0.341418654,23.59894037,0.4272398368100889,lower,SFG
10493-12702,-0.523099231,-0.182017666,8.911814451,0.5757612804857765,lower,SFG
10493-12703,-0.644642775,-0.24879023,3.64280051,0.6427394662384098,lower,Unclassified
10493-12704,-0.546230378,-0.111754786,4.642841101,0.5897424076216702,lower,Unclassified
10493-12705,-0.577587772,-0.06157368,4.944128156,0.6077098890383,lower,Unclassified
10493-1901,-0.082243751,0.312466642,1.630482823,0.08541529642406043,higher,Passive
10493-1902,-0.440509079,0.061030339,72.85024834,0.5200451208350884,lower,SFG
10493-3701,-0.461412869,-0.732816839,13.7687068,0.5350809836298278,lower,SFG
10493-3702,0.021352282,0.303636912,0.659715533,-0.16964137457175266,higher,Passive
10493-3703,-0.098366257,-0.056775283,0.638575673,0.11674839069484033,lower,Passive
10493-3704,-0.141211634,0.889295702,41.42684174,0.19198234773783773,higher,AGN
10493-6101,0.398479875,1.581021707,0.392411999,-7.339067867261139,higher,Passive
10493-6102,-0.207750139,0.8083851,1.048964679,0.28996329783120856,higher,Passive
10493-6103,0.172423001,-0.131976083,0.586311474,-0.8598896152924778,higher,Passive
10493-6104,0.178250402,0.231644026,3.853196859,-0.9008340720318664,higher,Unclassified
10493-9101,-0.507918709,-0.411738407,17.32572079,0.566226270766643,lower,SFG
10493-9102,-0.699393248,0.099113588,9.065157175,0.6683619616042114,lower,SFG
10494-12701,-0.154409958,0.583996337,7.252549052,0.21307771971823675,higher,AGN
10494-12702,0.344253122,0.18773255,1.339307994,-3.6610150685411074,higher,Passive
10494-12703,0.272859806,0.081048144,1.189437598,-1.9042446977606202,higher,Passive
10494-12704,0.070317582,0.149579878,3.334027767,-0.3362117434447667,higher,Unclassified
10494-12705,-0.045421628,0.216434561,5.772098064,0.006502903909961777,higher,Unclassified
10494-1901,-0.815123665,0.484351248,0.153961413,0.7153375090559864,lower,Passive
10494-1902,-0.341263845,0.109886721,2.774878263,0.4380867922814926,lower,Passive
10494-3701,-0.324950691,-0.302498593,50.00447941,0.42265680889885526,lower,SFG
10494-3702,-0.637491414,0.03301818,0.177029427,0.6392056621939645,lower,Passive
10494-3703,-0.307730631,0.440918651,1.525721908,0.40566674156106364,higher,Passive
10494-3704,-0.536966307,-0.320682197,26.64926624,0.5842200491123284,lower,SFG
10494-6101,-0.417082195,-0.617816351,9.26913619,0.5023523350618033,lower,SFG
10494-6102,0.260246313,0.507682283,1.624084085,-1.7181729562160215,higher,Passive
10494-6103,-1.049928652,-1.291349509,0.938302189,0.7886653720901105,lower,Passive
10494-6104,-0.163882028,-0.062312737,3.066973746,0.2276758244358995,lower,Unclassified
10494-9101,0.087840918,0.708284211,4.840157509,-0.4061939117281008,higher,Unclassified
10494-9102,-0.261586883,-0.081056914,4.04579556,0.35619609485261905,lower,Unclassified
10495-12701,-0.275034115,-0.13878686,1.943267524,0.37124554605127036,lower,Passive
10495-12702,0.219448752,0.397389171,1.069415271,-1.2446316566740876,higher,Passive
10495-12703,0.27940505,0.106473274,2.083673418,-2.0105045254346985,higher,Passive
10495-12704,-0.363340675,-0.520284578,10.23131514,0.4580064488631854,lower,SFG
10495-12705,-0.445541683,-0.448134826,14.13254023,0.5237277686787746,lower,SFG
10495-1901,-0.447896544,-0.419781809,7.348268032,0.525437088212852,lower,SFG
10495-1902,0.404853191,0.003446952,0.85996823,-8.173467057918375,higher,Passive
10495-3701,-0.052431117,-0.245472024,7.307793617,0.022381954002177018,lower,SFG
10495-3702,-0.512137565,-0.534784476,9.312317371,0.5689057442273883,lower,SFG
10495-3703,-0.168165864,0.50945867,0.504913054,0.23413564809539855,higher,Passive
10495-3704,0.449773679,0.068852678,0.380219135,-28.96872238950426,higher,Passive
10495-6101,0.118134902,0.07864908,4.618800044,-0.5436189450651341,higher,Unclassified
10495-6102,0.17828643,0.330564609,1.106195748,-0.901092299888552,higher,Passive
10495-6103,-0.392692646,-0.582420978,12.53716779,0.4829115568234482,lower,SFG
10495-6104,-0.549771673,0.713323547,0.358694643,0.5918268832615435,higher,Passive
10495-9101,-0.304864885,0.011168838,10.78266096,0.40276597790336044,lower,SFG
10495-9102,-0.062045983,0.171050508,1.348857224,0.043482556976658815,higher,Passive
10496-12701,-0.167905223,0.049146316,6.075223804,0.23374509252136966,lower,SFG
10496-12702,0.223560915,0.166115019,3.115649879,-1.285256715062061,higher,Unclassified
10496-12703,-0.906183661,-0.039318731,8.961806655,0.7467452097514766,lower,SFG
10496-12704,-0.419085099,-0.375123731,213.7413292,0.5039014469075024,lower,SFG
10496-12705,-0.473705474,-0.496993147,20.26455069,0.5436118876004314,lower,SFG
10496-1901,0.01172435,0.597853953,2.182699114,-0.14107661295117913,higher,Passive
10496-1902,0.085196149,0.013472928,1.174541712,-0.3952232206480699,higher,Passive
10496-3701,-0.059431952,-0.862721152,0.372159488,0.037821712128171425,lower,Passive
10496-3702,-0.089461685,0.038199548,4.855351567,0.09966617311782477,lower,Unclassified
10496-3703,-0.80462554,0.362789832,1.234702408,0.7114280736913525,lower,Passive
10496-3704,0.037193641,-0.073776846,1.301838338,-0.2194062790791853,higher,Passive
10496-6101,-0.430169638,-0.13510696,18.34248066,0.5123499502212714,lower,SFG
10496-6102,-0.554721279,-0.213509432,98.53751183,0.5947161774611689,lower,SFG
10496-6103,-0.509880319,-0.196080687,10.67428064,0.5674749954948324,lower,SFG
10496-6104,-0.235801092,0.005514685,0.801459402,0.3257338393010023,lower,Passive
10496-9101,0.212747575,0.174090334,0.456386454,-1.1812118554373199,higher,Passive
10496-9102,-0.414962132,-0.204797144,2.658899784,0.5007049692381639,lower,Passive
10499-9101,-0.032259583,-0.013127028,0.380890943,-0.024511421278347267,higher,Passive
10500-12701,-0.198427283,0.50994762,2.010529816,0.27741008107534104,higher,Passive
10500-12702,-0.289387702,0.24443215,11.72408557,0.38672125530418444,lower,SFG
10500-12703,0.057518687,0.212037541,123.4146309,-0.2888548736024801,higher,AGN
10500-12704,-0.402869738,-0.596697461,47.10590935,0.49115574702167064,lower,SFG
10500-12705,0.187488237,-0.059530417,1.424737453,-0.9692021285145569,higher,Passive
10500-1901,-0.114224237,0.40281426,5.008496284,0.1458803600268983,higher,Unclassified
10500-1902,0.30718184,0.363041243,0.267681982,-2.556510831469905,higher,Passive
10500-3701,0.312792895,-0.299088581,1.878210038,-2.6902317490675767,higher,Passive
10500-3702,-0.275637861,-0.462764441,76.15957832,0.3719084948531066,lower,SFG
